Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       4/31          luaD_poscall [196]
                             306946254             luaD_precall <cycle 1> [10]
-----------------------------------------------
                                                 <spontaneous>
[3]     82.9    0.00   27.25                 close_state [3]
                0.00   21.80       1/1           luaC_freeallobjects [4]
                0.00    5.45       1/1           luaD_closeprotected [8]
                0.00    0.00      35/20000430     luaM_free_ [18]
-----------------------------------------------
                0.00   21.80       1/1           close_state [3]
[4]     66.4    0.00   21.80       1         luaC_freeallobjects [4]
                0.00   21.79       4/4           GCTM [5]
                0.01    0.00       1/1           enterinc [49]
                0.00    0.00     296/20000430     luaM_free_ [18]
                0.00    0.00     296/20000290     freeobj [26]
                0.00    0.00       6/6           luaF_freeproto [120]
                0.00    0.00      20/21          luaH_free [121]
                0.00    0.00       1/142861      separatetobefnz [178]
-----------------------------------------------
                0.00   21.79       4/4           luaC_freeallobjects [4]
[5]     66.3    0.00   21.79       4         GCTM [5]
               18.74    3.05       4/6           luaD_pcall <cycle 1> [229]
                0.00    0.00       4/271946189     luaH_getshortstr [11]
                0.00    0.00       4/4           luaT_gettmbyobj [241]
-----------------------------------------------
                0.00    5.45       1/1           luaL_newstate [7]
[6]     16.6    0.00    5.45       1         lua_newstate [6]
                4.69    0.76       1/6           luaD_rawrunprotected <cycle 1> [33]
                0.00    0.00       1/40000947     l_alloc [25]
                0.00    0.00       1/1           luaS_hash [268]
-----------------------------------------------
                                                 <spontaneous>
[7]     16.6    0.00    5.45                 luaL_newstate [7]
                0.00    5.45       1/1           lua_newstate [6]
                0.00    0.00       1/1           lua_atpanic [270]
                0.00    0.00       1/1           lua_setwarnf [273]
-----------------------------------------------
                0.00    5.45       1/1           close_state [3]
[8]     16.6    0.00    5.45       1         luaD_closeprotected [8]
                4.69    0.76       1/6           luaD_rawrunprotected <cycle 1> [33]
-----------------------------------------------
                2.99    0.00 310000031/310000031     luaV_execute <cycle 1> [2]
[9]      9.1    2.99    0.00 310000031         luaD_pretailcall [9]
-----------------------------------------------
                                  16             luaD_callnoyield <cycle 1> [204]
                             306946254             luaV_execute <cycle 1> [2]
[10]     5.3    1.71    0.05 306946270         luaD_precall <cycle 1> [10]
                0.00    0.03       1/1           luaopen_package [32]
                0.00    0.01       1/1           luaopen_base [61]
                0.00    0.00       1/1           luaopen_io [72]
                0.00    0.00       1/1           gctm [73]
                0.00    0.00       1/1           luaopen_math [75]
                0.00    0.00       1/1           luaopen_string [76]
                0.00    0.00       1/1           luaopen_utf8 [84]
                0.00    0.00       1/1           luaopen_debug [85]
                0.00    0.00       1/1           luaopen_table [86]
                0.00    0.00       1/1           luaopen_os [88]
                0.00    0.00       1/1           luaopen_coroutine [87]
                0.00    0.00       3/3           f_gc [115]
                0.00    0.00       3/3           str_format [125]
                0.00    0.00       3/3           luaB_print [126]
                0.00    0.00      33/33          luaE_extendCI [128]
                0.00    0.00       2/2           luaD_reallocstack [163]
                0.00    0.00      27/31          luaD_poscall [196]
